pwd, "It prints the path of the working directory, starting from the root"
mkdir, "Allows the user to create directories. This command can create multiple directories at once"
cp, "Used to copy files or group of files or directory"
scp, "Used to copy file(s) between servers in a secure way."
gcc, "GNU Compiler Collections is used to compile mainly C and C++ language. It can also be used to compile Objective C and Objective C++"
kill, "Used to terminate processes manually. kill command sends a signal to a process which terminates the process"
chmod, "Used to change the access mode of a file"
chown, "Used to change the file Owner or group"
echo, "Used to display line of text/string that are passed as an argument"
find, "Used to find files and directories and perform subsequent operations on them"
ls, "lists files in the directory"
rmdir, "remove directory"
mv, "move file"
man, "opens manual"
make, "creates a make file"
top, ""
cat, ""
df, ""
exit, ""
finger, ""
cd, "chanes what directory you're in"
rm, "removes a file"
ssh, ""
g++, ""
ps, ""
who, ""
alias, ""
grep, ""
clear, ""
free, ""